transfer,run,desc,plate_n,barcode,ab
17,1,agar,1,2021050807,N
17,1,agar,2,2021050808,N
17,1,agar,3,2021050809,N
17,1,agar,4,2021050810,N
17,1,agar,5,2021050811,N
17,1,agar,6,2021050812,N
17,1,agar,1,2021050813,A
17,1,agar,2,2021050814,A
17,1,agar,3,2021050815,A
17,1,agar,4,2021050816,A
17,1,agar,5,2021050817,A
17,1,agar,6,2021050818,A
17,1,agar,1,2021050819,B
17,1,agar,2,2021050820,B
17,1,agar,3,2021050821,B
17,1,agar,4,2021050822,B
17,1,agar,5,2021050823,B
17,1,agar,6,2021050824,B
17,1,agar,1,2021050825,AB
17,1,agar,2,2021050826,AB
17,1,agar,3,2021050827,AB
17,1,agar,4,2021050828,AB
17,1,agar,5,2021050829,AB
17,1,agar,6,2021050830,AB